切	母	呼	紐	韻	聲	調	組	音	等	水	攝	轉	尾	舒	仄	Unnamed: 3	ini	niu	rime	tone	coda
並唐入	並母			唐韻	入聲	唇	幫	全濁	一	陽	宕	内	ㄥ尾	0	1		b		a		ng
明一歌平	明母			一歌韻	平聲	唇	幫	次濁	一	歌	果	内		1	0		m		a		
書尤上	書母			尤韻	上聲	齒	章	全清	三	尤	流	内	ㄡ尾	1	1		x		u	̇	
滂文入	滂母			文韻	入聲	唇	幫	次清	三	文	臻	外	ㄣ尾	0	1		ph		u		n
疑開唐上	疑母	開		唐韻	上聲	牙	見	次濁	一	陽	宕	内	ㄥ尾	1	1		ng		a	̇	ng
疑開唐去	疑母	開		唐韻	去聲	牙	見	次濁	一	陽	宕	内	ㄥ尾	1	1		ng		a	̃	ng
定開一歌去	定母	開		一歌韻	去聲	舌	端	全濁	一	歌	果	内		1	1		d		a	̃	
以開眞入	以母	開		眞韻	入聲	喉		次濁	三	真	臻	外	ㄣ尾	0	1		y		i		n
滂模平	滂母			模韻	平聲	唇	幫	次清	一	虞	遇	内	ㄡ尾	1	0		ph		o		
章合支上	章母	合		支韻	上聲	齒	章	全清	三	支	止	内	ㄟ尾	1	1		t		e	̇	
章合支平	章母	合		支韻	平聲	齒	章	全清	三	支	止	内	ㄟ尾	1	0		t		e		
崇咸入	崇母			咸韻	入聲	齒	莊	全濁	二	咸	咸	外	ㄇ尾	0	1		z		e		m
匣開寒平	匣母	開		寒韻	平聲	喉	影	全濁	一	寒	山	外	ㄣ尾	1	0		g		a		n
澄三東入	澄母			三東韻	入聲	舌	知	全濁	三	東	通	内	ㄥ尾	0	1		d		uo		ng
定開登去	定母	開		登韻	去聲	舌	端	全濁	一	蒸	曾	内	ㄥ尾	1	1		d		v	̃	ng
影江入	影母			江韻	入聲	喉	影	全清	二	江	江	外	ㄥ尾	0	1		v		o		ng
影合廢去	影母	合		廢韻	去聲	喉	影	全清	三	灰	蟹	外	ㄟ尾	1	1		v		uoi	̃	
並一東平	並母			一東韻	平聲	唇	幫	全濁	一	東	通	内	ㄥ尾	1	0		b		o		ng
來江平	來母			江韻	平聲	舌		次濁	二	江	江	外	ㄥ尾	1	0		l		o		ng
崇侵入	崇母			侵韻	入聲	齒	莊	全濁	三	侵	深	内	ㄇ尾	0	1		z		i		m
溪合山入	溪母	合		山韻	入聲	牙	見	次清	二	刪	山	外	ㄣ尾	0	1		kh		e		n
疑合寒平	疑母	合		寒韻	平聲	牙	見	次濁	一	寒	山	外	ㄣ尾	1	0		ng		a		n
影合山入	影母	合		山韻	入聲	喉	影	全清	二	刪	山	外	ㄣ尾	0	1		v		e		n
影魂入	影母			魂韻	入聲	喉	影	全清	一	元	臻	外	ㄣ尾	0	1		v		o		n
溪開一歌平	溪母	開		一歌韻	平聲	牙	見	次清	一	歌	果	内		1	0		kh		a		
溪合唐平	溪母	合		唐韻	平聲	牙	見	次清	一	陽	宕	内	ㄥ尾	1	0		kh		a		ng
匣開二庚平	匣母	開		二庚韻	平聲	喉	影	全濁	二	庚	梗	外	ㄥ尾	1	0		g		a		ng
心開清入	心母	開		清韻	入聲	齒	精	全清	三	庚	梗	外	ㄥ尾	0	1		s		e		ng
溪豪去	溪母			豪韻	去聲	牙	見	次清	一	豪	效	外	ㄡ尾	1	1		kh		a	̃	
心冬平	心母			冬韻	平聲	齒	精	全清	一	冬	通	内	ㄥ尾	1	0		s		ou		ng
清開脂去	清母	開		脂韻	去聲	齒	精	次清	三	支	止	内	ㄟ尾	1	1		ch		i	̃	
心鹽平	心母			鹽韻	平聲	齒	精	全清	三	鹽	咸	外	ㄇ尾	1	0		s		e		m
滂侯上	滂母			侯韻	上聲	唇	幫	次清	一	尤	流	内	ㄡ尾	1	1		ph		ou	̇	
章尤去	章母			尤韻	去聲	齒	章	全清	三	尤	流	内	ㄡ尾	1	1		t		u	̃	
幫唐上	幫母			唐韻	上聲	唇	幫	全清	一	陽	宕	内	ㄥ尾	1	1		p		a	̇	ng
清開一歌上	清母	開		一歌韻	上聲	齒	精	次清	一	歌	果	内		1	1		ch		a	̇	
幫刪平	幫母			刪韻	平聲	唇	幫	全清	二	刪	山	外	ㄣ尾	1	0		p		a		n
精開齊去	精母	開		齊韻	去聲	齒	精	全清	四	齊	蟹	外	ㄟ尾	1	1		c		e	̃	
精開寒上	精母	開		寒韻	上聲	齒	精	全清	一	寒	山	外	ㄣ尾	1	1		c		a	̇	n
章魚上	章母			魚韻	上聲	齒	章	全清	三	魚	遇	内	ㄡ尾	1	1		t		io	̇	
徹之去	徹母			之韻	去聲	舌	知	次清	三	支	止	内	ㄟ尾	1	1		th		y	̃	
匣合登入	匣母	合		登韻	入聲	喉	影	全濁	一	蒸	曾	内	ㄥ尾	0	1		g		v		ng
曉模平	曉母			模韻	平聲	喉	影	全清	一	虞	遇	内	ㄡ尾	1	0		h		o		
見欣入	見母			欣韻	入聲	牙	見	全清	三	文	臻	外	ㄣ尾	0	1		k		y		n
影蕭平	影母			蕭韻	平聲	喉	影	全清	四	蕭	效	外	ㄡ尾	1	0		v		e		
見開登去	見母	開		登韻	去聲	牙	見	全清	一	蒸	曾	内	ㄥ尾	1	1		k		v	̃	ng
透侯上	透母			侯韻	上聲	舌	端	次清	一	尤	流	内	ㄡ尾	1	1		th		ou	̇	
清開唐入	清母	開		唐韻	入聲	齒	精	次清	一	陽	宕	内	ㄥ尾	0	1		ch		a		ng
並佳平	並母			佳韻	平聲	唇	幫	全濁	二	佳	蟹	外	ㄟ尾	1	0		b		e		
見魚去	見母			魚韻	去聲	牙	見	全清	三	魚	遇	内	ㄡ尾	1	1		k		io	̃	
見添去	見母			添韻	去聲	牙	見	全清	四	鹽	咸	外	ㄇ尾	1	1		k		e	̃	m
匣合山入	匣母	合		山韻	入聲	喉	影	全濁	二	刪	山	外	ㄣ尾	0	1		g		e		n
精豪上	精母			豪韻	上聲	齒	精	全清	一	豪	效	外	ㄡ尾	1	1		c		a	̇	
匣開佳上	匣母	開		佳韻	上聲	喉	影	全濁	二	佳	蟹	外	ㄟ尾	1	1		g		e	̇	
疑B鹽上	疑母		B紐	鹽韻	上聲	牙	見	次濁	三	鹽	咸	外	ㄇ尾	1	1		ng	l	e	̇	m
羣開陽平	羣母	開		陽韻	平聲	牙	見	全濁	三	陽	宕	内	ㄥ尾	1	0		g		a		ng
明登去	明母			登韻	去聲	唇	幫	次濁	一	蒸	曾	内	ㄥ尾	1	1		m		v	̃	ng
滂陽上	滂母			陽韻	上聲	唇	幫	次清	三	陽	宕	内	ㄥ尾	1	1		ph		a	̇	ng
溪肴上	溪母			肴韻	上聲	牙	見	次清	二	肴	效	外	ㄡ尾	1	1		kh		a	̇	
明侯上	明母			侯韻	上聲	唇	幫	次濁	一	尤	流	内	ㄡ尾	1	1		m		ou	̇	
端冬平	端母			冬韻	平聲	舌	端	全清	一	冬	通	内	ㄥ尾	1	0		t		ou		ng
見合齊去	見母	合		齊韻	去聲	牙	見	全清	四	齊	蟹	外	ㄟ尾	1	1		k		e	̃	
溪開寒去	溪母	開		寒韻	去聲	牙	見	次清	一	寒	山	外	ㄣ尾	1	1		kh		a	̃	n
明三庚平	明母			三庚韻	平聲	唇	幫	次濁	三	庚	梗	外	ㄥ尾	1	0		m		a		ng
幫A仙入	幫母		A紐	仙韻	入聲	唇	幫	全清	三	先	山	外	ㄣ尾	0	1		p	y	e		n
羣合A脂平	羣母	合	A紐	脂韻	平聲	牙	見	全濁	三	支	止	内	ㄟ尾	1	0		g	y	i		
澄鍾平	澄母			鍾韻	平聲	舌	知	全濁	三	冬	通	内	ㄥ尾	1	0		d		u		ng
疑虞去	疑母			虞韻	去聲	牙	見	次濁	三	虞	遇	内	ㄡ尾	1	1		ng		uo	̃	
幫魂平	幫母			魂韻	平聲	唇	幫	全清	一	元	臻	外	ㄣ尾	1	0		p		o		n
滂一東入	滂母			一東韻	入聲	唇	幫	次清	一	東	通	内	ㄥ尾	0	1		ph		o		ng
心宵平	心母			宵韻	平聲	齒	精	全清	三	蕭	效	外	ㄡ尾	1	0		s		e		
影合皆平	影母	合		皆韻	平聲	喉	影	全清	二	佳	蟹	外	ㄟ尾	1	0		v		ei		
初合夬去	初母	合		夬韻	去聲	齒	莊	次清	二	佳	蟹	外	ㄟ尾	1	1		ch		ai	̃	
生開三庚平	生母	開		三庚韻	平聲	齒	莊	全清	三	庚	梗	外	ㄥ尾	1	0		s		a		ng
見開二麻平	見母	開		二麻韻	平聲	牙	見	全清	二	麻	假	外		1	0		k		a		
從咍平	從母			咍韻	平聲	齒	精	全濁	一	灰	蟹	外	ㄟ尾	1	0		z		vi		
生開刪去	生母	開		刪韻	去聲	齒	莊	全清	二	刪	山	外	ㄣ尾	1	1		s		a	̃	n
船鍾入	船母			鍾韻	入聲	齒	章	全濁	三	冬	通	内	ㄥ尾	0	1		j		u		ng
幫清上	幫母			清韻	上聲	唇	幫	全清	三	庚	梗	外	ㄥ尾	1	1		p		e	̇	ng
匣合刪上	匣母	合		刪韻	上聲	喉	影	全濁	二	刪	山	外	ㄣ尾	1	1		g		a	̇	n
匣合二麻上	匣母	合		二麻韻	上聲	喉	影	全濁	二	麻	假	外		1	1		g		a	̇	
見合一歌上	見母	合		一歌韻	上聲	牙	見	全清	一	歌	果	内		1	1		k		a	̇	
來開脂平	來母	開		脂韻	平聲	舌		次濁	三	支	止	内	ㄟ尾	1	0		l		i		
初開刪去	初母	開		刪韻	去聲	齒	莊	次清	二	刪	山	外	ㄣ尾	1	1		ch		a	̃	n
澄開清入	澄母	開		清韻	入聲	舌	知	全濁	三	庚	梗	外	ㄥ尾	0	1		d		e		ng
見合二庚上	見母	合		二庚韻	上聲	牙	見	全清	二	庚	梗	外	ㄥ尾	1	1		k		a	̇	ng
云合脂上	云母	合		脂韻	上聲	喉	影	次濁	三	支	止	内	ㄟ尾	1	1		w		i	̇	
透合寒平	透母	合		寒韻	平聲	舌	端	次清	一	寒	山	外	ㄣ尾	1	0		th		a		n
昌開仙上	昌母	開		仙韻	上聲	齒	章	次清	三	先	山	外	ㄣ尾	1	1		th		e	̇	n
端一東上	端母			一東韻	上聲	舌	端	全清	一	東	通	内	ㄥ尾	1	1		t		o	̇	ng
溪開先上	溪母	開		先韻	上聲	牙	見	次清	四	先	山	外	ㄣ尾	1	1		kh		e	̇	n
生開佳去	生母	開		佳韻	去聲	齒	莊	全清	二	佳	蟹	外	ㄟ尾	1	1		s		e	̃	
影之去	影母			之韻	去聲	喉	影	全清	三	支	止	内	ㄟ尾	1	1		v		y	̃	
見開寒上	見母	開		寒韻	上聲	牙	見	全清	一	寒	山	外	ㄣ尾	1	1		k		a	̇	n
端開寒入	端母	開		寒韻	入聲	舌	端	全清	一	寒	山	外	ㄣ尾	0	1		t		a		n
端開先上	端母	開		先韻	上聲	舌	端	全清	四	先	山	外	ㄣ尾	1	1		t		e	̇	n
邪開三麻上	邪母	開		三麻韻	上聲	齒	精	全濁	三	麻	假	外		1	1		zs		a	̇	
精咍去	精母			咍韻	去聲	齒	精	全清	一	灰	蟹	外	ㄟ尾	1	1		c		vi	̃	
影合夬去	影母	合		夬韻	去聲	喉	影	全清	二	佳	蟹	外	ㄟ尾	1	1		v		ai	̃	
影合泰去	影母	合		泰韻	去聲	喉	影	全清	一	齊	蟹	外	ㄟ尾	1	1		v		a	̃	
莊合仙入	莊母	合		仙韻	入聲	齒	莊	全清	三	先	山	外	ㄣ尾	0	1		c		e		n
邪合祭去	邪母	合		祭韻	去聲	齒	精	全濁	三	齊	蟹	外	ㄟ尾	1	1		zs		e	̃	
清談入	清母			談韻	入聲	齒	精	次清	一	覃	咸	外	ㄇ尾	0	1		ch		a		m
幫肴去	幫母			肴韻	去聲	唇	幫	全清	二	肴	效	外	ㄡ尾	1	1		p		a	̃	
從開齊平	從母	開		齊韻	平聲	齒	精	全濁	四	齊	蟹	外	ㄟ尾	1	0		z		e		
羣B侵去	羣母		B紐	侵韻	去聲	牙	見	全濁	三	侵	深	内	ㄇ尾	1	1		g	l	i	̃	m
羣魚上	羣母			魚韻	上聲	牙	見	全濁	三	魚	遇	内	ㄡ尾	1	1		g		io	̇	
莊魚平	莊母			魚韻	平聲	齒	莊	全清	三	魚	遇	内	ㄡ尾	1	0		c		io		
從開齊去	從母	開		齊韻	去聲	齒	精	全濁	四	齊	蟹	外	ㄟ尾	1	1		z		e	̃	
泥覃平	泥母			覃韻	平聲	舌	端	次濁	一	覃	咸	外	ㄇ尾	1	0		n		v		m
昌合支去	昌母	合		支韻	去聲	齒	章	次清	三	支	止	内	ㄟ尾	1	1		th		e	̃	
昌合支平	昌母	合		支韻	平聲	齒	章	次清	三	支	止	内	ㄟ尾	1	0		th		e		
影開A眞入	影母	開	A紐	眞韻	入聲	喉	影	全清	三	真	臻	外	ㄣ尾	0	1		v	y	i		n
常開陽上	常母	開		陽韻	上聲	齒	章	全濁	三	陽	宕	内	ㄥ尾	1	1		d		a	̇	ng
常開陽去	常母	開		陽韻	去聲	齒	章	全濁	三	陽	宕	内	ㄥ尾	1	1		d		a	̃	ng
匣開二麻上	匣母	開		二麻韻	上聲	喉	影	全濁	二	麻	假	外		1	1		g		a	̇	
心談去	心母			談韻	去聲	齒	精	全清	一	覃	咸	外	ㄇ尾	1	1		s		a	̃	m
心談平	心母			談韻	平聲	齒	精	全清	一	覃	咸	外	ㄇ尾	1	0		s		a		m
匣開二麻去	匣母	開		二麻韻	去聲	喉	影	全濁	二	麻	假	外		1	1		g		a	̃	
幫尤上	幫母			尤韻	上聲	唇	幫	全清	三	尤	流	内	ㄡ尾	1	1		p		u	̇	
幫文入	幫母			文韻	入聲	唇	幫	全清	三	文	臻	外	ㄣ尾	0	1		p		u		n
見開泰去	見母	開		泰韻	去聲	牙	見	全清	一	齊	蟹	外	ㄟ尾	1	1		k		a	̃	
徹尤上	徹母			尤韻	上聲	舌	知	次清	三	尤	流	内	ㄡ尾	1	1		th		u	̇	
清開三麻上	清母	開		三麻韻	上聲	齒	精	次清	三	麻	假	外		1	1		ch		a	̇	
精魚平	精母			魚韻	平聲	齒	精	全清	三	魚	遇	内	ㄡ尾	1	0		c		io		
書開祭去	書母	開		祭韻	去聲	齒	章	全清	三	齊	蟹	外	ㄟ尾	1	1		x		e	̃	
溪尤平	溪母			尤韻	平聲	牙	見	次清	三	尤	流	内	ㄡ尾	1	0		kh		u		
幫三庚上	幫母			三庚韻	上聲	唇	幫	全清	三	庚	梗	外	ㄥ尾	1	1		p		a	̇	ng
常開蒸去	常母	開		蒸韻	去聲	齒	章	全濁	三	蒸	曾	内	ㄥ尾	1	1		d		y	̃	ng
常開蒸平	常母	開		蒸韻	平聲	齒	章	全濁	三	蒸	曾	内	ㄥ尾	1	0		d		y		ng
端幽平	端母			幽韻	平聲	舌	端	全清	三	尤	流	内	ㄡ尾	1	0		t		iu		
並青上	並母			青韻	上聲	唇	幫	全濁	四	青	梗	外	ㄥ尾	1	1		b		e	̇	ng
見開一歌去	見母	開		一歌韻	去聲	牙	見	全清	一	歌	果	内		1	1		k		a	̃	
知三東去	知母			三東韻	去聲	舌	知	全清	三	東	通	内	ㄥ尾	1	1		t		uo	̃	ng
知三東平	知母			三東韻	平聲	舌	知	全清	三	東	通	内	ㄥ尾	1	0		t		uo		ng
見開三庚入	見母	開		三庚韻	入聲	牙	見	全清	三	庚	梗	外	ㄥ尾	0	1		k		a		ng
見合刪去	見母	合		刪韻	去聲	牙	見	全清	二	刪	山	外	ㄣ尾	1	1		k		a	̃	n
昌合仙去	昌母	合		仙韻	去聲	齒	章	次清	三	先	山	外	ㄣ尾	1	1		th		e	̃	n
崇江入	崇母			江韻	入聲	齒	莊	全濁	二	江	江	外	ㄥ尾	0	1		z		o		ng
知虞上	知母			虞韻	上聲	舌	知	全清	三	虞	遇	内	ㄡ尾	1	1		t		uo	̇	
章虞上	章母			虞韻	上聲	齒	章	全清	三	虞	遇	内	ㄡ尾	1	1		t		uo	̇	
精開清上	精母	開		清韻	上聲	齒	精	全清	三	庚	梗	外	ㄥ尾	1	1		c		e	̇	ng
泥咍上	泥母			咍韻	上聲	舌	端	次濁	一	灰	蟹	外	ㄟ尾	1	1		n		vi	̇	
見尤上	見母			尤韻	上聲	牙	見	全清	三	尤	流	内	ㄡ尾	1	1		k		u	̇	
知開二庚入	知母	開		二庚韻	入聲	舌	知	全清	二	庚	梗	外	ㄥ尾	0	1		t		a		ng
透開唐入	透母	開		唐韻	入聲	舌	端	次清	一	陽	宕	内	ㄥ尾	0	1		th		a		ng
並凡入	並母			凡韻	入聲	唇	幫	全濁	三	咸	咸	外	ㄇ尾	0	1		b		uam		m
滂青平	滂母			青韻	平聲	唇	幫	次清	四	青	梗	外	ㄥ尾	1	0		ph		e		ng
船開蒸去	船母	開		蒸韻	去聲	齒	章	全濁	三	蒸	曾	内	ㄥ尾	1	1		j		y	̃	ng
船開蒸平	船母	開		蒸韻	平聲	齒	章	全濁	三	蒸	曾	内	ㄥ尾	1	0		j		y		ng
影開B眞入	影母	開	B紐	眞韻	入聲	喉	影	全清	三	真	臻	外	ㄣ尾	0	1		v	l	i		n
明三麻上	明母			三麻韻	上聲	唇	幫	次濁	三	麻	假	外		1	1		m		a	̇	
以開三麻上	以母	開		三麻韻	上聲	喉		次濁	三	麻	假	外		1	1		y		a	̇	
定魂入	定母			魂韻	入聲	舌	端	全濁	一	元	臻	外	ㄣ尾	0	1		d		o		n
日虞上	日母			虞韻	上聲	齒	章	次濁	三	虞	遇	内	ㄡ尾	1	1		n		uo	̇	
羣開B仙平	羣母	開	B紐	仙韻	平聲	牙	見	全濁	三	先	山	外	ㄣ尾	1	0		g	l	e		n
來合寒去	來母	合		寒韻	去聲	舌		次濁	一	寒	山	外	ㄣ尾	1	1		l		a	̃	n
崇之去	崇母			之韻	去聲	齒	莊	全濁	三	支	止	内	ㄟ尾	1	1		z		y	̃	
莊之去	莊母			之韻	去聲	齒	莊	全清	三	支	止	内	ㄟ尾	1	1		c		y	̃	
日開脂去	日母	開		脂韻	去聲	齒	章	次濁	三	支	止	内	ㄟ尾	1	1		n		i	̃	
知虞去	知母			虞韻	去聲	舌	知	全清	三	虞	遇	内	ㄡ尾	1	1		t		uo	̃	
疑模上	疑母			模韻	上聲	牙	見	次濁	一	虞	遇	内	ㄡ尾	1	1		ng		o	̇	
心開一歌去	心母	開		一歌韻	去聲	齒	精	全清	一	歌	果	内		1	1		s		a	̃	
心開三麻平	心母	開		三麻韻	平聲	齒	精	全清	三	麻	假	外		1	0		s		a		
心開齊去	心母	開		齊韻	去聲	齒	精	全清	四	齊	蟹	外	ㄟ尾	1	1		s		e	̃	
明陽平	明母			陽韻	平聲	唇	幫	次濁	三	陽	宕	内	ㄥ尾	1	0		m		a		ng
溪開唐去	溪母	開		唐韻	去聲	牙	見	次清	一	陽	宕	内	ㄥ尾	1	1		kh		a	̃	ng
曉開二庚平	曉母	開		二庚韻	平聲	喉	影	全清	二	庚	梗	外	ㄥ尾	1	0		h		a		ng
滂二庚平	滂母			二庚韻	平聲	唇	幫	次清	二	庚	梗	外	ㄥ尾	1	0		ph		a		ng
見開三庚平	見母	開		三庚韻	平聲	牙	見	全清	三	庚	梗	外	ㄥ尾	1	0		k		a		ng
端開寒上	端母	開		寒韻	上聲	舌	端	全清	一	寒	山	外	ㄣ尾	1	1		t		a	̇	n
日開眞平	日母	開		眞韻	平聲	齒	章	次濁	三	真	臻	外	ㄣ尾	1	0		n		i		n
從侵入	從母			侵韻	入聲	齒	精	全濁	三	侵	深	内	ㄇ尾	0	1		z		i		m
常侵入	常母			侵韻	入聲	齒	章	全濁	三	侵	深	内	ㄇ尾	0	1		d		i		m
來開蒸入	來母	開		蒸韻	入聲	舌		次濁	三	蒸	曾	内	ㄥ尾	0	1		l		y		ng
章開陽上	章母	開		陽韻	上聲	齒	章	全清	三	陽	宕	内	ㄥ尾	1	1		t		a	̇	ng
幫蒸平	幫母			蒸韻	平聲	唇	幫	全清	三	蒸	曾	内	ㄥ尾	1	0		p		y		ng
從鍾平	從母			鍾韻	平聲	齒	精	全濁	三	冬	通	内	ㄥ尾	1	0		z		u		ng
精之平	精母			之韻	平聲	齒	精	全清	三	支	止	内	ㄟ尾	1	0		c		y		
崇之上	崇母			之韻	上聲	齒	莊	全濁	三	支	止	内	ㄟ尾	1	1		z		y	̇	
透開一歌平	透母	開		一歌韻	平聲	舌	端	次清	一	歌	果	内		1	0		th		a		
澄開陽去	澄母	開		陽韻	去聲	舌	知	全濁	三	陽	宕	内	ㄥ尾	1	1		d		a	̃	ng
幫虞去	幫母			虞韻	去聲	唇	幫	全清	三	虞	遇	内	ㄡ尾	1	1		p		uo	̃	
曉開B仙平	曉母	開	B紐	仙韻	平聲	喉	影	全清	三	先	山	外	ㄣ尾	1	0		h	l	e		n
清開先平	清母	開		先韻	平聲	齒	精	次清	四	先	山	外	ㄣ尾	1	0		ch		e		n
疑欣入	疑母			欣韻	入聲	牙	見	次濁	三	文	臻	外	ㄣ尾	0	1		ng		y		n
常開陽入	常母	開		陽韻	入聲	齒	章	全濁	三	陽	宕	内	ㄥ尾	0	1		d		a		ng
定咍去	定母			咍韻	去聲	舌	端	全濁	一	灰	蟹	外	ㄟ尾	1	1		d		vi	̃	
來開清去	來母	開		清韻	去聲	舌		次濁	三	庚	梗	外	ㄥ尾	1	1		l		e	̃	ng
來開清平	來母	開		清韻	平聲	舌		次濁	三	庚	梗	外	ㄥ尾	1	0		l		e		ng
來開青去	來母	開		青韻	去聲	舌		次濁	四	青	梗	外	ㄥ尾	1	1		l		e	̃	ng
明模去	明母			模韻	去聲	唇	幫	次濁	一	虞	遇	内	ㄡ尾	1	1		m		o	̃	
初肴去	初母			肴韻	去聲	齒	莊	次清	二	肴	效	外	ㄡ尾	1	1		ch		a	̃	
疑開陽去	疑母	開		陽韻	去聲	牙	見	次濁	三	陽	宕	内	ㄥ尾	1	1		ng		a	̃	ng
澄三東去	澄母			三東韻	去聲	舌	知	全濁	三	東	通	内	ㄥ尾	1	1		d		uo	̃	ng
羣開B仙上	羣母	開	B紐	仙韻	上聲	牙	見	全濁	三	先	山	外	ㄣ尾	1	1		g	l	e	̇	n
影B宵上	影母		B紐	宵韻	上聲	喉	影	全清	三	蕭	效	外	ㄡ尾	1	1		v	l	e	̇	
日侵去	日母			侵韻	去聲	齒	章	次濁	三	侵	深	内	ㄇ尾	1	1		n		i	̃	m
溪開A支上	溪母	開	A紐	支韻	上聲	牙	見	次清	三	支	止	内	ㄟ尾	1	1		kh	y	e	̇	
溪開A支去	溪母	開	A紐	支韻	去聲	牙	見	次清	三	支	止	内	ㄟ尾	1	1		kh	y	e	̃	
端蕭去	端母			蕭韻	去聲	舌	端	全清	四	蕭	效	外	ㄡ尾	1	1		t		e	̃	
明文上	明母			文韻	上聲	唇	幫	次濁	三	文	臻	外	ㄣ尾	1	1		m		u	̇	n
明文入	明母			文韻	入聲	唇	幫	次濁	三	文	臻	外	ㄣ尾	0	1		m		u		n
心侵上	心母			侵韻	上聲	齒	精	全清	三	侵	深	内	ㄇ尾	1	1		s		i	̇	m
影開A脂平	影母	開	A紐	脂韻	平聲	喉	影	全清	三	支	止	内	ㄟ尾	1	0		v	y	i		
並尤去	並母			尤韻	去聲	唇	幫	全濁	三	尤	流	内	ㄡ尾	1	1		b		u	̃	
曉合一歌上	曉母	合		一歌韻	上聲	喉	影	全清	一	歌	果	内		1	1		h		a	̇	
疑開二麻平	疑母	開		二麻韻	平聲	牙	見	次濁	二	麻	假	外		1	0		ng		a		
見模上	見母			模韻	上聲	牙	見	全清	一	虞	遇	内	ㄡ尾	1	1		k		o	̇	
孃之上	孃母			之韻	上聲	舌	知	次濁	三	支	止	内	ㄟ尾	1	1		n		y	̇	
並寒去	並母			寒韻	去聲	唇	幫	全濁	一	寒	山	外	ㄣ尾	1	1		b		a	̃	n
從模上	從母			模韻	上聲	齒	精	全濁	一	虞	遇	内	ㄡ尾	1	1		z		o	̇	
心之去	心母			之韻	去聲	齒	精	全清	三	支	止	内	ㄟ尾	1	1		s		y	̃	
邪之上	邪母			之韻	上聲	齒	精	全濁	三	支	止	内	ㄟ尾	1	1		zs		y	̇	
羣開三歌平	羣母	開		三歌韻	平聲	牙	見	全濁	三	歌	果	内		1	0		g		a		
定開寒去	定母	開		寒韻	去聲	舌	端	全濁	一	寒	山	外	ㄣ尾	1	1		d		a	̃	n
定開寒平	定母	開		寒韻	平聲	舌	端	全濁	一	寒	山	外	ㄣ尾	1	0		d		a		n
澄魚上	澄母			魚韻	上聲	舌	知	全濁	三	魚	遇	内	ㄡ尾	1	1		d		io	̇	
幫模去	幫母			模韻	去聲	唇	幫	全清	一	虞	遇	内	ㄡ尾	1	1		p		o	̃	
幫B支去	幫母		B紐	支韻	去聲	唇	幫	全清	三	支	止	内	ㄟ尾	1	1		p	l	e	̃	
清開支上	清母	開		支韻	上聲	齒	精	次清	三	支	止	内	ㄟ尾	1	1		ch		e	̇	
云合脂去	云母	合		脂韻	去聲	喉	影	次濁	三	支	止	内	ㄟ尾	1	1		w		i	̃	
澄虞去	澄母			虞韻	去聲	舌	知	全濁	三	虞	遇	内	ㄡ尾	1	1		d		uo	̃	
匣開一歌上	匣母	開		一歌韻	上聲	喉	影	全濁	一	歌	果	内		1	1		g		a	̇	
匣開一歌平	匣母	開		一歌韻	平聲	喉	影	全濁	一	歌	果	内		1	0		g		a		
常開三麻平	常母	開		三麻韻	平聲	齒	章	全濁	三	麻	假	外		1	0		d		a		
船開三麻平	船母	開		三麻韻	平聲	齒	章	全濁	三	麻	假	外		1	0		j		a		
精模去	精母			模韻	去聲	齒	精	全清	一	虞	遇	内	ㄡ尾	1	1		c		o	̃	
泥開青去	泥母	開		青韻	去聲	舌	端	次濁	四	青	梗	外	ㄥ尾	1	1		n		e	̃	ng
疑合二麻上	疑母	合		二麻韻	上聲	牙	見	次濁	二	麻	假	外		1	1		ng		a	̇	
溪開二麻上	溪母	開		二麻韻	上聲	牙	見	次清	二	麻	假	外		1	1		kh		a	̇	
幫肴平	幫母			肴韻	平聲	唇	幫	全清	二	肴	效	外	ㄡ尾	1	0		p		a		
匣灰平	匣母			灰韻	平聲	喉	影	全濁	一	灰	蟹	外	ㄟ尾	1	0		g		uoi		
以開陽平	以母	開		陽韻	平聲	喉		次濁	三	陽	宕	内	ㄥ尾	1	0		y		a		ng
從開陽平	從母	開		陽韻	平聲	齒	精	全濁	三	陽	宕	内	ㄥ尾	1	0		z		a		ng
見開佳平	見母	開		佳韻	平聲	牙	見	全清	二	佳	蟹	外	ㄟ尾	1	0		k		e		
泥咍去	泥母			咍韻	去聲	舌	端	次濁	一	灰	蟹	外	ㄟ尾	1	1		n		vi	̃	
並耕上	並母			耕韻	上聲	唇	幫	全濁	二	庚	梗	外	ㄥ尾	1	1		b		e	̇	ng
幫清去	幫母			清韻	去聲	唇	幫	全清	三	庚	梗	外	ㄥ尾	1	1		p		e	̃	ng
羣開B眞入	羣母	開	B紐	眞韻	入聲	牙	見	全濁	三	真	臻	外	ㄣ尾	0	1		g	l	i		n
清合仙平	清母	合		仙韻	平聲	齒	精	次清	三	先	山	外	ㄣ尾	1	0		ch		e		n
透蕭平	透母			蕭韻	平聲	舌	端	次清	四	蕭	效	外	ㄡ尾	1	0		th		e		
生之上	生母			之韻	上聲	齒	莊	全清	三	支	止	内	ㄟ尾	1	1		s		y	̇	
生之去	生母			之韻	去聲	齒	莊	全清	三	支	止	内	ㄟ尾	1	1		s		y	̃	
溪開寒上	溪母	開		寒韻	上聲	牙	見	次清	一	寒	山	外	ㄣ尾	1	1		kh		a	̇	n
匣開皆上	匣母	開		皆韻	上聲	喉	影	全濁	二	佳	蟹	外	ㄟ尾	1	1		g		ei	̇	
